MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,MoSold,YrSold,SalePrice
60,8450,7,5,2003,2003,856,1710,2,3,1,8,2,2008,208500
20,9600,6,8,1976,1976,1262,1262,2,3,1,6,5,2007,181500
60,11250,7,5,2001,2002,920,1786,2,3,1,6,9,2008,223500
70,9550,7,5,1915,1970,961,1717,1,3,1,7,2,2006,140000
60,14260,8,5,2000,2000,1145,2198,2,4,1,9,12,2008,250000
50,14115,5,5,1993,1995,796,1362,1,1,1,5,10,2009,143000
20,10084,8,5,2004,2005,1694,1694,2,3,1,7,8,2007,307000
60,10382,7,6,1973,1973,1107,2090,2,3,1,7,11,2009,200000
50,6120,7,5,1931,1950,1022,1774,2,2,2,8,4,2008,129900
190,7420,5,6,1939,1950,1077,1077,1,2,2,5,1,2008,118000
20,11200,5,5,1965,1965,1040,1040,1,3,1,5,2,2008,129500
60,11924,9,5,2005,2006,1182,2324,3,4,1,11,7,2006,345000
20,12968,5,6,1962,1962,912,912,1,2,1,4,9,2008,144000
20,10652,7,5,2006,2007,1494,1494,2,3,1,7,8,2007,279500
20,10920,6,5,1960,1960,1253,1253,1,2,1,5,5,2008,157000
45,6120,7,8,1929,2001,854,854,1,2,1,5,7,2007,132000
20,11241,6,7,1970,1970,1004,1004,1,2,1,5,3,2010,149000
90,10791,4,5,1967,1967,1296,1296,2,2,2,6,10,2006,90000
20,13695,5,5,2004,2004,1114,1114,1,3,1,6,6,2008,159000
20,7560,5,6,1958,1965,1339,1339,1,3,1,6,5,2009,139000
60,14215,8,5,2005,2006,1158,2376,3,4,1,9,11,2006,325300
45,7449,7,7,1930,1950,1108,1108,1,3,1,6,6,2007,139400
20,9742,8,5,2002,2002,1795,1795,2,3,1,7,9,2008,230000
120,4224,5,7,1976,1976,1060,1060,1,3,1,6,6,2007,129900
20,8246,5,8,1968,2001,1060,1060,1,3,1,6,5,2010,154000
20,14230,8,5,2007,2007,1600,1600,2,3,1,7,7,2009,256300
20,7200,5,7,1951,2000,900,900,1,3,1,5,5,2010,134800
20,11478,8,5,2007,2008,1704,1704,2,3,1,7,5,2010,306000
20,16321,5,6,1957,1997,1600,1600,1,2,1,6,12,2006,207500
30,6324,4,6,1927,1950,520,520,1,1,1,4,5,2008,68500
70,8500,4,4,1920,1950,649,1317,1,3,1,6,7,2008,40000
20,8544,5,6,1966,2006,1228,1228,1,3,1,6,6,2008,149350
20,11049,8,5,2007,2007,1234,1234,2,3,1,7,1,2008,179900
20,10552,5,5,1959,1959,1700,1700,1,4,1,6,4,2010,165500
120,7313,9,5,2005,2005,1561,1561,2,2,1,6,8,2007,277500
60,13418,8,5,2004,2005,1132,2452,3,4,1,9,9,2006,309000
20,10859,5,5,1994,1995,1097,1097,1,3,1,6,6,2009,145000
20,8532,5,6,1954,1990,1297,1297,1,3,1,5,10,2009,153000
20,7922,5,7,1953,2007,1057,1057,1,3,1,5,1,2010,109000
90,6040,4,5,1955,1955,1152,1152,2,2,2,6,6,2008,82000
20,8658,6,5,1965,1965,1324,1324,2,3,1,6,12,2006,160000
20,16905,5,6,1959,1959,1328,1328,1,2,1,5,7,2007,170000
85,9180,5,7,1983,1983,884,884,1,2,1,5,12,2007,144000
20,9200,5,6,1975,1980,938,938,1,3,1,5,7,2008,130250
20,7945,5,6,1959,1959,1150,1150,1,3,1,6,5,2006,141000
120,7658,9,5,2005,2005,1752,1752,2,2,1,6,2,2010,319900
